"El municipi en xifres"
"082665: Cerdanyola del Vallès (Vallès Occidental)"
https://www.idescat.cat/emex/?id=082665
"Institut d'Estadística de Catalunya"

tema,temaid,taula,taulaid,concepte,concepteid,temps,unitat,font,valormun,valorcom,valorcat
Població,g168,"Densitat de població",t192,Superfície,f261,2021,km²,,30.56,583.13,32108.00
Població,g168,"Densitat de població",t192,Densitat,f262,2021,hab./km²,,1872.3,1607.6,241.8
Població,g168,"Població. Per sexe",t195,Homes,f318,2021,,"Idescat, a partir del Padró continu de l'INE.",27911,460364,3819831
Població,g168,"Població. Per sexe",t195,Dones,f320,2021,,"Idescat, a partir del Padró continu de l'INE.",29306,477058,3943531
Població,g168,"Població. Per sexe",t195,Total,f321,2021,,"Idescat, a partir del Padró continu de l'INE.",57217,937422,7763362
Població,g168,"Població. Per grups d'edat",t25,"De 0 a 14 anys",f167,2020,,"Idescat, a partir del Padró continu de l'INE.",7967,155592,1165865
Població,g168,"Població. Per grups d'edat",t25,"De 15 a 64 anys",f27,2020,,"Idescat, a partir del Padró continu de l'INE.",38574,624442,5146253
Població,g168,"Població. Per grups d'edat",t25,"De 65 a 84 anys",f28,2020,,"Idescat, a partir del Padró continu de l'INE.",9969,133182,1218356
Població,g168,"Població. Per grups d'edat",t25,"De 85 anys i més",f29,2020,,"Idescat, a partir del Padró continu de l'INE.",1345,24292,250005
Població,g168,"Població. Per grups d'edat",t25,Total,f171,2020,,"Idescat, a partir del Padró continu de l'INE.",57855,937508,7780479
Població,g168,"Població. Per grups d'edat. Homes",t31,"De 0 a 14 anys",f176,2020,,"Idescat, a partir del Padró continu de l'INE.",4151,80196,600199
Població,g168,"Població. Per grups d'edat. Homes",t31,"De 15 a 64 anys",f33,2020,,"Idescat, a partir del Padró continu de l'INE.",19131,312634,2596461
Població,g168,"Població. Per grups d'edat. Homes",t31,"De 65 a 84 anys",f34,2020,,"Idescat, a partir del Padró continu de l'INE.",4557,59833,547441
Població,g168,"Població. Per grups d'edat. Homes",t31,"De 85 anys i més",f35,2020,,"Idescat, a partir del Padró continu de l'INE.",445,8030,82863
Població,g168,"Població. Per grups d'edat. Homes",t31,Total,f36,2020,,"Idescat, a partir del Padró continu de l'INE.",28284,460693,3826964
Població,g168,"Població. Per grups d'edat. Dones",t37,"De 0 a 14 anys",f38,2020,,"Idescat, a partir del Padró continu de l'INE.",3816,75396,565666
Població,g168,"Població. Per grups d'edat. Dones",t37,"De 15 a 64 anys",f39,2020,,"Idescat, a partir del Padró continu de l'INE.",19443,311808,2549792
Població,g168,"Població. Per grups d'edat. Dones",t37,"De 65 a 84 anys",f40,2020,,"Idescat, a partir del Padró continu de l'INE.",5412,73349,670915
Població,g168,"Població. Per grups d'edat. Dones",t37,"De 85 anys i més",f41,2020,,"Idescat, a partir del Padró continu de l'INE.",900,16262,167142
Població,g168,"Població. Per grups d'edat. Dones",t37,Total,f42,2020,,"Idescat, a partir del Padró continu de l'INE.",29571,476815,3953515
Població,g168,"Població. Per lloc de naixement",t68,Catalunya,f69,2020,,"Idescat, a partir del Padró continu de l'INE.",37072,632186,4947418
Població,g168,"Població. Per lloc de naixement",t68,"Resta d'Espanya",f72,2020,,"Idescat, a partir del Padró continu de l'INE.",12778,162058,1248206
Població,g168,"Població. Per lloc de naixement",t68,Estranger,f73,2020,,"Idescat, a partir del Padró continu de l'INE.",8005,143264,1584855
Població,g168,"Població. Per lloc de naixement",t68,Total,f74,2020,,"Idescat, a partir del Padró continu de l'INE.",57855,937508,7780479
Població,g168,"Població. Per nacionalitat",t75,Espanyola,f183,2020,,"Idescat, a partir del Padró continu de l'INE.",52187,829243,6519860
Població,g168,"Població. Per nacionalitat",t75,Estrangera,f184,2020,,"Idescat, a partir del Padró continu de l'INE.",5668,108265,1260619
Població,g168,"Població. Per nacionalitat",t75,Total,f263,2020,,"Idescat, a partir del Padró continu de l'INE.",57855,937508,7780479
Població,g168,"Població. Per nacionalitat. Homes",t78,Espanyola,f178,2020,,"Idescat, a partir del Padró continu de l'INE.",25633,406746,3176668
Població,g168,"Població. Per nacionalitat. Homes",t78,Estrangera,f77,2020,,"Idescat, a partir del Padró continu de l'INE.",2651,53947,650296
